number,created_at,merged_at,lead_time_hours,lead_time_days,author,title,url
135358,2025-11-19T21:05:18Z,2026-01-08T20:41:39Z,1199.61,49.98,harche,Sort runtime handlers list coming from the CRI runtime,https://github.com/kubernetes/kubernetes/pull/135358
136108,2026-01-08T15:55:40Z,2026-01-08T20:41:54Z,4.77,0.2,pohly,"dependencies: ginkgo v2.27.4, gomega v1.39.0",https://github.com/kubernetes/kubernetes/pull/136108
135551,2025-12-02T15:09:49Z,2026-01-08T19:49:49Z,892.67,37.19,Jefftree,Add pod indexer to deployment controller,https://github.com/kubernetes/kubernetes/pull/135551
133678,2025-08-24T21:49:34Z,2026-01-08T19:49:41Z,3286.0,136.92,mortent,DRA: Avoid unnecessary work in allocator,https://github.com/kubernetes/kubernetes/pull/133678
136111,2026-01-08T17:16:58Z,2026-01-08T18:57:46Z,1.68,0.07,aojea,define endpointslice.endpoints as optional,https://github.com/kubernetes/kubernetes/pull/136111
136110,2026-01-08T17:15:55Z,2026-01-08T18:57:39Z,1.7,0.07,liggitt,Fix kyaml output of watch events,https://github.com/kubernetes/kubernetes/pull/136110
136103,2026-01-08T12:19:35Z,2026-01-08T18:37:41Z,6.3,0.26,atiratree,Automated cherry pick of #135625: mark QuotaMonitor as not running and invalidate monitors list,https://github.com/kubernetes/kubernetes/pull/136103
135838,2025-12-18T19:15:36Z,2026-01-08T02:35:38Z,487.33,20.31,lalitc375,Automated cherry pick of #135714: Ensure metricIdentifier uses scheme for kind resolution,https://github.com/kubernetes/kubernetes/pull/135838
135930,2025-12-25T08:47:14Z,2026-01-08T17:31:40Z,344.74,14.36,249043822,Fix:globalmount path may be residual while pod creation-deletion,https://github.com/kubernetes/kubernetes/pull/135930
135955,2025-12-27T12:33:49Z,2026-01-08T15:09:42Z,290.6,12.11,utam0k,scheduler: align the meaning of victim metrics between async preemption and sync preemption,https://github.com/kubernetes/kubernetes/pull/135955
134701,2025-10-18T03:04:44Z,2026-01-08T14:01:40Z,1978.95,82.46,anson627,Make ConcurrentResourceClaimSyncs configurable,https://github.com/kubernetes/kubernetes/pull/134701
136100,2026-01-08T10:58:11Z,2026-01-08T13:09:48Z,2.19,0.09,soltysh,Remove dead api,https://github.com/kubernetes/kubernetes/pull/136100
135234,2025-11-08T15:03:51Z,2026-01-08T13:09:40Z,1462.1,60.92,atiratree,rename scaleReplicaSetAndRecordEvent to scaleReplicaSetWithLazyAnnotationUpdate,https://github.com/kubernetes/kubernetes/pull/135234
